name,latitude,longitude
Yttrup,56.72314,8.99703
Yppenbjerg,55.61708,11.1826
Ypnested,55.15783,15.05969
Yding,56.00087,9.76937
Yderik,55.6937,8.57095
Yderby,55.9768,11.34646
Ydby,56.7,8.41667
Vysteby,55.20126,14.72857
Vust Holme,57.09051,9.08809
Vust,57.11193,9.07039
Væth,56.401,9.9413
Værum,56.40408,9.99028
Værslev,55.6562,11.21055
Vroue,56.44011,9.03297
Vrønding,55.86667,9.71667
Vrold,56.02777,9.88839
Værløse,55.27557,12.14539
Vrist,56.60189,8.14937
Vrinners,56.2444,10.49277
Vringelby,57.34809,9.76177
Vriet,54.82791,11.45473
Vridsted,56.44314,9.00579
Vridsløsemagle,55.68574,12.29336
Vridsløselille,55.65906,12.33267
Vridsløse,55.26449,11.77651
Vrensted Østerhede,57.32888,9.81754
Vrensted,57.33897,9.77526
Vrenderup,55.61572,8.72622
Vranum,56.38835,9.3848
Vrannerup,55.49583,9.38821
Vrangstrup,56.31673,9.88622
Vrangstrup,55.39972,11.72617
Vrangbæk,57.40075,10.47463
Vrågård,55.00408,8.72247
Vrads,56.04095,9.44937
Vråby,55.34536,12.16066
Vråby,55.09748,8.53213
Vrå,57.34763,9.95154
Vrå,56.72755,9.97936
Vrå,56.53333,9.6
Vrå,56.17271,9.01065
Vrå,55.52728,9.34533
Vostrup,55.8919,8.41522
Vorup,56.44538,10.03995
Vorring,57.03052,8.68456
Vorre,56.27866,10.29454
Vornæs,55,10.55
Vorning,56.52775,9.72744
Vormark,55.18764,10.75363
Vork,55.65832,9.33202
Vorgod,56.08602,8.69903
Vor Frue,55.61154,12.0968
Vordingborg,55.00801,11.91057
Vordingborg,54.98333,11.9
Vorde,56.53056,9.34244
Vorbjerg,55.94751,9.70938
Vorbasse,55.62992,9.08239
Vøjstrup,55.24794,10.21234
Vonsild,55.45513,9.47638
Vonsbæk,55.28449,9.60108
Vonge,55.86036,9.41939
Volstrup,57.31472,10.43811
Volstrup,56.95553,9.77632
Volstrup,55.19683,10.49354
Volsted,56.9089,9.90183
Volshave,54.8024,11.22948
Volling,56.6,8.88333
Vollerup,57.35104,9.89061
Vollerup,55.7229,11.06598
Vollerup,55.34063,11.42515
Vollerup,54.99681,9.20121
Vollerup,54.90863,12.17291
Vollerup,54.92571,9.85479
Vollerslev,55.4203,12.0054
Voldum,56.36558,10.17218
Voldtofte,55.23855,10.07231
Volderslev,55.33269,10.39692
Voldby,56.46191,10.86866
